1,TheHindu,http://www.thehindu.com/?service=rss,163974433696568
2,TimesOfIndia,http://dynamic.feedsportal.com/pf/555218/http://toi.timesofindia.indiatimes.com/rssfeedstopstories.cms,26781952138
3,EconomicTimes,http://economictimes.indiatimes.com/rssfeedsdefault.cms,21540067693
4,BBCSport,http://feeds.bbci.co.uk/sport/0/rss.xml?edition=int,317278538359186
5,BBCNews,http://feeds.bbci.co.uk/news/rss.xml?edition=int,228735667216
6,NewyorkTimes,http://rss.nytimes.com/services/xml/rss/nyt/InternationalHome.xml,5281959998
7,HuffingtonPost,http://www.huffingtonpost.com/feeds/index.xml,18468761129
8,9gag,http://9gag-rss.com/api/rss/get?code=9GAG&format=2,21785951839
9,Scoopwoop,http://www.scoopwhoop.com/feed/,110141895861579
10,TheViralFever,http://www.theviralfever.com/?feed=rss2,230013210408109
11,TheVerge,http://www.theverge.com/rss/frontpage,193742123995472
12,Techcrunch,http://feeds.feedburner.com/TechCrunch/,8062627951
13,YourStory,http://yourstory.com/feed/,467687645161
